mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.6405498027801514,0.024352178675434683,0.009650993347167968,0.002441316056261877,,100,"{'max_depth': None, 'n_estimators': 100}",0.6736641221374046,0.6469465648854962,0.6717557251908397,0.6812977099236641,0.6774809160305344,0.6702290076335877,0.012093877494469364,4
1.305856704711914,0.054175646005338106,0.01899127960205078,0.003947880284136095,,200,"{'max_depth': None, 'n_estimators': 200}",0.6717557251908397,0.6603053435114504,0.6564885496183206,0.6641221374045801,0.6793893129770993,0.666412213740458,0.00822162565974734,6
1.9174928188323974,0.08613044175907147,0.029729509353637697,0.005767951720178273,,300,"{'max_depth': None, 'n_estimators': 300}",0.683206106870229,0.6622137404580153,0.6583969465648855,0.6564885496183206,0.6927480916030534,0.6706106870229007,0.01461388528173789,3
3.211037588119507,0.103734370086444,0.04522542953491211,0.009257079853160181,,500,"{'max_depth': None, 'n_estimators': 500}",0.6908396946564885,0.6641221374045801,0.6679389312977099,0.6526717557251909,0.6793893129770993,0.6709923664122137,0.013088876488154379,2
6.437451267242432,0.12035274230662778,0.07920975685119629,0.011143363368748587,,1000,"{'max_depth': None, 'n_estimators': 1000}",0.6870229007633588,0.6717557251908397,0.6736641221374046,0.666030534351145,0.6812977099236641,0.6759541984732824,0.007381328093822046,1
0.25667486190795896,0.01498009227464441,0.0025283336639404298,6.78433210939023e-05,4,100,"{'max_depth': 4, 'n_estimators': 100}",0.6278625954198473,0.6450381679389313,0.6183206106870229,0.6545801526717557,0.6221374045801527,0.633587786259542,0.013919528647946924,23
0.5054219722747803,0.040642647833978154,0.007375001907348633,0.00331474724991528,4,200,"{'max_depth': 4, 'n_estimators': 200}",0.6354961832061069,0.6412213740458015,0.6240458015267175,0.648854961832061,0.6278625954198473,0.6354961832061068,0.008951175114166845,21
0.8057416439056396,0.016706791225782003,0.010754632949829101,0.0052151808834902105,4,300,"{'max_depth': 4, 'n_estimators': 300}",0.6335877862595419,0.6450381679389313,0.6183206106870229,0.648854961832061,0.6221374045801527,0.6335877862595419,0.012069762061711363,24
1.3050068855285644,0.02317067888950353,0.016029167175292968,0.004093572453712607,4,500,"{'max_depth': 4, 'n_estimators': 500}",0.6335877862595419,0.648854961832061,0.6183206106870229,0.6526717557251909,0.6221374045801527,0.6351145038167939,0.013782801591807472,22
2.598396730422974,0.021827898287093642,0.03777203559875488,0.010797051412571196,4,1000,"{'max_depth': 4, 'n_estimators': 1000}",0.6316793893129771,0.6374045801526718,0.6202290076335878,0.6507633587786259,0.6202290076335878,0.6320610687022901,0.011475798762116704,25
0.3167060375213623,0.012218695802185436,0.0029369354248046874,0.00013797368660255427,5,100,"{'max_depth': 5, 'n_estimators': 100}",0.6393129770992366,0.6583969465648855,0.6316793893129771,0.6622137404580153,0.6335877862595419,0.6450381679389312,0.012773435519604222,17
0.6395780563354492,0.04647902723332814,0.008936786651611328,0.0044950019057901245,5,200,"{'max_depth': 5, 'n_estimators': 200}",0.6412213740458015,0.6622137404580153,0.6316793893129771,0.6622137404580153,0.6374045801526718,0.6469465648854962,0.012830333064100486,16
0.9234603881835938,0.021894875091607088,0.011235380172729492,0.003535224327300996,5,300,"{'max_depth': 5, 'n_estimators': 300}",0.6393129770992366,0.6545801526717557,0.6183206106870229,0.6603053435114504,0.6335877862595419,0.6412213740458015,0.015026732583992015,20
1.5143327713012695,0.05711438402420856,0.020618677139282227,0.004952352566986575,5,500,"{'max_depth': 5, 'n_estimators': 500}",0.6374045801526718,0.6507633587786259,0.6259541984732825,0.666030534351145,0.6316793893129771,0.6423664122137404,0.014413135563739831,19
3.014493989944458,0.03824603300071172,0.039800405502319336,0.006323711798639229,5,1000,"{'max_depth': 5, 'n_estimators': 1000}",0.6431297709923665,0.6545801526717557,0.6240458015267175,0.666030534351145,0.6297709923664122,0.6435114503816795,0.01547567552115519,18
0.35798063278198244,0.020140863935079585,0.006123924255371093,0.0024967362745351774,6,100,"{'max_depth': 6, 'n_estimators': 100}",0.6507633587786259,0.666030534351145,0.6354961832061069,0.6641221374045801,0.6450381679389313,0.6522900763358778,0.011539096532695381,11
0.6962248325347901,0.03076912070076077,0.009599685668945312,0.0034198913670947383,6,200,"{'max_depth': 6, 'n_estimators': 200}",0.6526717557251909,0.6622137404580153,0.6297709923664122,0.6603053435114504,0.6393129770992366,0.648854961832061,0.012485058957096298,13
1.018543577194214,0.01920357147086874,0.009999752044677734,0.0016654116259379604,6,300,"{'max_depth': 6, 'n_estimators': 300}",0.6450381679389313,0.666030534351145,0.6316793893129771,0.666030534351145,0.6374045801526718,0.6492366412213741,0.014352363112185615,12
1.8194708824157715,0.03288181445377757,0.024487876892089845,0.0025130659254003884,6,500,"{'max_depth': 6, 'n_estimators': 500}",0.6469465648854962,0.6583969465648855,0.6316793893129771,0.6641221374045801,0.6393129770992366,0.648091603053435,0.011924045306727719,15
3.674006700515747,0.08525564259076643,0.03635711669921875,0.0020505924766392055,6,1000,"{'max_depth': 6, 'n_estimators': 1000}",0.6469465648854962,0.6603053435114504,0.6278625954198473,0.6679389312977099,0.6393129770992366,0.648473282442748,0.014352363112185613,14
0.48382277488708497,0.016585551387024618,0.005067682266235352,0.0008384007636687186,10,100,"{'max_depth': 10, 'n_estimators': 100}",0.666030534351145,0.6622137404580153,0.6431297709923665,0.6526717557251909,0.6698473282442748,0.6587786259541984,0.009685937053778246,10
